"CNTSCHID","CNT","PRIVATESCH","STRATIO","SCHSIZE","SCH_TESTED","sum_MATH1below","mean_ESCS","mean_ESCS_std","Y_MATH1","Y_MATH1_rate","Y_BIN_MATH1"
84000115,"United States","private",6.0952,64,11,4,0.150118181818182,-0.16814334036044,4,0.363636363636364,0
84000117,"United States","private",9.7,97,16,7,0.48743125,0.459387133095866,7,0.4375,0
84000126,"United States","public",10,200,17,10,-0.166811764705882,-0.757753462692036,10,0.588235294117647,0
84000166,"United States","public",4.2326,91,10,3,-0.05093,-0.542169349503639,3,0.3,0
85800006,"Uruguay","public",7.6,228,18,17,-1.29651666666667,0.256352890126526,17,0.944444444444444,1
85800077,"Uruguay","public",5.3143,93,14,13,-1.77362142857143,-0.494881144203287,13,0.928571428571429,1
85800120,"Uruguay","public",6.0455,133,14,13,-2.11613571428571,-1.03419328111317,13,0.928571428571429,1
85800168,"Uruguay","public",9.7684,464,19,16,-0.651026315789474,1.27272153518993,16,0.842105263157895,1
97500024,"B-S-J-Z (China)","private",3.8047,487,12,0,1.35268333333333,2.05723428463442,0,0,0
97500074,"B-S-J-Z (China)","public",6.3077,246,16,3,-1.54425,-1.04076314102773,3,0.1875,0
97500077,"B-S-J-Z (China)","public",5.3725,274,11,2,-0.890836363636364,-0.341998782160736,2,0.181818181818182,0
97500118,"B-S-J-Z (China)","public",3.1702,149,12,6,-1.07285,-0.536645227904495,6,0.5,0
97500147,"B-S-J-Z (China)","public",2.8246,161,16,1,-0.37459375,0.210074083880095,1,0.0625,0
97500204,"B-S-J-Z (China)","public",2.8947,110,12,1,-1.0103,-0.469753892592958,1,0.0833333333333333,0
97500253,"B-S-J-Z (China)","public",4.66,233,19,6,-0.45708947368421,0.121852675171407,6,0.31578947368421,0
